id,name
110001605,로베르 피레스
110001620,에마뉘엘 프티
110001625,티에리 앙리
110001668,클로드 마켈렐레
110001845,올레 군나르 솔샤르
110003647,미하엘 발락
110004000,데니스 베르캄프
110004202,젠나로 가투소
110004231,히바우두
110004833,H. 스토이치코프
110005003,카푸
110005099,잔루카 잠브로타
110005419,마이클 오언
110005471,프랭크 램파드
110005479,카시야스
110005589,루이스 피구
110005673,야리 리트마넨
110005680,P. 클라위베르트
110005984,다비드 트레제게
110006235,파벨 네드베드
110006975,프레디 융베리
110007289,리오 퍼디난드
110007512,에르난 크레스포
110007518,베론
110007763,안드레아 피를로
110007826,로빈 반페르시
110009676,사뮈엘 에토
110010264,뤼트 반니스텔로이
110010535,차비
110011141,미로슬라프 클로제
110013038,카를레스 푸욜
110013128,안드리 셰우첸코
110013383,나카타 히데토시
110013743,스티븐 제라드
110020289,야야 투레
110023174,리켈메
110028130,호나우지뉴
110031432,디디에 드로그바
110034079,애슐리 콜
110037576,호나우두
110039943,박지성
110045197,샤비 알론소
110045661,라울
110045674,마이클 에시앙
110048940,페트르 체흐
110049369,페르난도 토레스
110051539,에드윈 반데르사르
110052241,헨릭 라르손
110054050,웨인 루니
110121939,필립 람
110121944,B. 슈바인슈타이거
110138449,카카
110140601,네마냐 비디치
110156353,루이스 에르난데스
110156616,프랑크 리베리
110161840,페르난도 이에로
110166124,게오르게 하지
110166149,우고 산체스
110166691,지쿠
110166906,프랑코 바레시
110167135,카를루스 아우베르투
110167198,에릭 칸토나
110167680,로날트 쿠만
110190043,펠레
110190044,보비 무어
110190045,요한 크루이프
110190046,소크라테스
110190048,게르트 뮐러
110190053,페터 슈마이켈
110191189,로타어 마테우스
110191208,차범근
110191695,부트라게뇨
110192181,마르코 반바스텐
110214098,프랑크 레이카르트
110214100,루드 굴리트
110214101,파울루 푸트리
110214267,게리 리네커
110214649,다보르 슈케르
110222000,미카엘 라우드루프
110222481,로랑 블랑
110226764,조지 베스트
110230025,보비 찰턴
110242519,에우제비우
110247515,존 반스
110247553,가린샤
110247699,케니 달글리시
110247703,이언 러시
110248146,이언 라이트
110254642,페렌츠 푸스카스
110268513,자이르지뉴
201000001,데이비드 시먼
201000041,이니에스타
201000051,앨런 시어러
201000195,로비 파울러
201000240,로이 킨
201000244,게리 네빌
201000246,폴 스콜스
201000388,솔 캠벨
201000393,테디 셰링엄
201000488,올리버 칸
201000570,제이-제이 오코차
201000805,옌스 레만
201000942,크리스티안 비에리
201001025,후이 코스타
201001040,호베르투 카를루스
201001041,하비에르 사네티
201001075,A. 델피에로
201001088,알레산드로 네스타
201001109,파올로 말디니
201001116,마르셀 드사이
201001179,잔루이지 부폰
201001183,파비오 칸나바로
201001198,필리포 인자기
